threshold,alerts,tp,fp,fn,alert_rate,precision,recall,gross_saving_usd,intervention_cost_usd,net_benefit_usd
0.81,1873,1842,31,9170,0.03561445874769447,0.9834490122797651,0.1672720668361787,3575931.5937462584,1685700.0,1890231.5937462584
0.82,1849,1819,30,9193,0.035158106900420226,0.9837750135208221,0.16518343625136214,3531280.982097961,1664100.0,1867180.982097961
0.83,1828,1798,30,9214,0.03475879903405526,0.9835886214442013,0.1632764257173992,3490513.032332124,1645200.0,1845313.0323321242
0.84,1806,1777,29,9235,0.034340476507387196,0.9839424141749723,0.16136941518343625,3449745.0825662874,1625400.0,1824345.0825662874
0.85,1774,1748,26,9264,0.033732007377688195,0.9853438556933484,0.15873592444605886,3393446.4852706078,1596600.0,1796846.4852706078
0.86,1756,1733,23,9279,0.03338974349223251,0.9869020501138952,0.15737377406465675,3364326.521152153,1580400.0,1783926.5211521531
0.87,1733,1713,20,9299,0.032952406305261354,0.9884593190998269,0.1555575735561206,3325499.9023275464,1559700.0,1765799.9023275464
0.88,1701,1684,17,9328,0.03234393717556236,0.9900058788947678,0.1529240828187432,3269201.305031867,1530900.0,1738301.3050318672
0.89,1671,1654,17,9358,0.03177349736646955,0.9898264512268103,0.15019978205593898,3210961.3767949576,1503900.0,1707061.3767949576
0.9,1631,1617,14,9395,0.0310129109543458,0.9914163090128756,0.1468398111151471,3139132.1319694356,1467900.0,1671232.1319694356
0.91,1590,1578,12,9434,0.030233309881918958,0.9924528301886792,0.14329822012350163,3063420.2252614526,1431000.0,1632420.2252614526
0.92,1536,1526,10,9486,0.0292065182255519,0.9934895833333334,0.13857609880130767,2962471.016317476,1382400.0,1580071.016317476
0.93,1473,1466,7,9546,0.028008594626457,0.9952477936184657,0.13312749727569922,2845991.1598436562,1325700.0,1520291.1598436562
0.94,1394,1387,7,9625,0.0265064364625126,0.9949784791965567,0.12595350526698149,2692626.0154864606,1254600.0,1438026.0154864606
0.95,1308,1304,4,9708,0.02487117567644654,0.9969418960244648,0.11841627315655648,2531495.547364344,1177200.0,1354295.547364344
